Season,Winner Country,Winner Club,Score,Runner-up Club,Runner-up Country,Venue,Team Logo,,,Key
2011–12,England,Chelsea,1–1*,Bayern Munich,Germany,"Allianz Arena, Munich, Germany",https://drive.google.com/file/d/1QpJB01rbGHtLskDZ0AaiDf_xo-K0BVqI/view?usp=sharing,,,
2012–13,Germany,Bayern Munich,2–1,Borussia Dortmund,Germany,"Wembley Stadium, London, England",https://drive.google.com/file/d/1_fGNT6Kxm_0lYFVEAaihFwuHqbT7dHyY/view?usp=sharing,,,
2013–14,Spain,Real Madrid,4–1†,Atlético Madrid,Spain,"Estádio da Luz, Lisbon, Portugal",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2014–15,Spain,Barcelona,3–1,Juventus,Italy,"Olympiastadion, Berlin, Germany",https://drive.google.com/file/d/1zFRQbu_3VxDVUOB8ho57VdgYJg8Yzr9l/view?usp=sharing,,,
2015–16,Spain,Real Madrid,1–1*,Atlético Madrid,Spain,"San Siro, Milan, Italy",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2016–17,Spain,Real Madrid,4–1,Juventus,Italy,"Millennium Stadium, Cardiff, Wales",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2017–18,Spain,Real Madrid,3–1,Liverpool,England,"NSC Olimpiyskiy Stadium, Kyiv, Ukraine",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2018–19,England,Liverpool,2–0,Tottenham Hotspur,England,"Metropolitano Stadium, Madrid, Spain",https://drive.google.com/file/d/126BcStq_HujHayarTHzGJojSA8cHJ9VG/view?usp=sharing,,,
2019–20,Germany,Bayern Munich,1–0,Paris Saint-Germain,France,"Estádio da Luz, Lisbon, Portugal",https://drive.google.com/file/d/1_fGNT6Kxm_0lYFVEAaihFwuHqbT7dHyY/view?usp=sharing,,,
2020–21,England,Chelsea,1–0,Manchester City,England,"Estádio do Dragão, Porto, Portugal",https://drive.google.com/file/d/1QpJB01rbGHtLskDZ0AaiDf_xo-K0BVqI/view?usp=sharing,,,
2021–22,Spain,Real Madrid,1–0,Liverpool,England,"Stade de France, Saint-Denis, France",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2022–23,England,Manchester City,1–0,Inter Milan,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",https://drive.google.com/file/d/1G2vhmHtclNm90Cbp5E7jBP7ePqMalwfc/view?usp=sharing,,,
2023–24,Spain,Real Madrid,2–0,Borussia Dortmund,Germany,"Wembley Stadium, London, England",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2024–25,France,Paris Saint-Germain,5–0,Inter Milan,Italy,"Allianz Arena, Munich, Germany",https://drive.google.com/file/d/1w-OVD089IeOCEK7Tv4iDLrK8GNPL2AIs/view?usp=sharing,,,
