Team,Season,Jersey Type,Design,Color,Brand,Sponsor,League,Nation,Rating,Worn By Player,Image 1,Image 2,Tournament won,Standing,Team Logo,,,,,
Royal Challengers Banglore,2011,Special,Green/Gold,Green,Reebok,Mc Dowell's No.1,IPL,India,4.7/5,"Virat Kohli, Chris Gayle, AB de Villiers",https://drive.google.com/file/d/1Drn2I5fidhScoq690DcZQ_qJovc4-TrV/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Chennai Super Kings,2026,Home,Yellow/Blue,Yellow,SEVEN,Etihad Airways,IPL,India,,,,NO,,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2025,Home,Yellow/Blue,Yellow,SEVEN,Etihad Airways ,IPL,India,4.3/5,"MS Dhoni, Ruturaj Gaikwad, Matheesha Pathirana",https://drive.google.com/file/d/1m-DhUKwG0f_7UAQb2dhoDQagqh9CLHMo/view?usp=sharing,,NO,10,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2024,Home,Yellow/Blue,Yellow,SEVEN,TVS Eurogrip,IPL,India,4.3/5,"MS Dhoni, Ruturaj Gaikwad, Shivam Dube",https://drive.google.com/file/d/1nOep5eVdG75IH0OU-SL_abn5f6EYUSEL/view?usp=sharing,,NO,5,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2023,Home,Yellow/Blue,Yellow,SEVEN,TVS Eurogrip,IPL,India,4.3/5,"MS Dhoni, Devon Conway, Ravindra Jadeja",https://drive.google.com/file/d/1lXPWoQp_5i-k5jQ60qSdy1hlNcn0IKQ5/view?usp=sharing,,Yes,1,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2022,Home,Yellow/Blue,Yellow,SEVEN,TVS Eurogrip,IPL,India,4.3/5,"MS Dhoni, Ruturaj Gaikwad, Moeen Ali",https://drive.google.com/file/d/1P7oLGAQZgMi12SYmCxlWKpycey5ZBtXh/view?usp=sharing,,NO,9,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2021,Home,Yellow/Blue,Yellow,SEVEN,Myntra,IPL,India,4.3/5,"MS Dhoni, Faf du Plessis, Ruturaj Gaikwad",https://drive.google.com/file/d/1btnQfswuvhMciKUmaA0XAMLGyVd3NY9O/view?usp=sharing,,Yes,1,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
